Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Landscape after Huang Gongwang,Wang Shimin,dated 1677,1989.363.119,Folding fan mounted as an album leaf; ink and color on white paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153886.jpg
Panel,Unidentified Artist,17th century,1977.316,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/212157.jpg
Tapestry Picture,Unidentified Artist,19th century,13.100.33,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18721.jpg
Bottle,Unidentified Artist,18th century,65.86.118,Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/65_86_118_O1.jpg
Long Side Table,Unidentified Artist,17th–18th century,1976.193.9,Wood (huanghuali or Dalbergia odorifera),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1976_193_9_O2.jpg
Wine container (fou),Unidentified Artist,ca. 6th–5th century BCE,1997.442.6,Bronze inlaid with barium pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP155219.jpg
Jar,Unidentified Artist,18th century,14.40.338,Porcelain with crackled green glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-14_40_338_whs-002.jpg
Cup with Handle,Unidentified Artist,Unknown Date,04.6.6,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/31626.jpg
"Vaishravana, Guardian of Buddhism and Protector of Riches",Unidentified Artist,early 15th century,2021.290,Distemper on cloth,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-24550-001_crd.jpg
Tuning key,Unidentified Artist,5th–3rd century BCE,24.102.2,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP167682.jpg
Piece,Unidentified Artist,17th century(?),46.133.15,"Silk, cotton",China,https://images.metmuseum.org/CRDImages/as/mobile-large/163898.jpg
Dish with Buddhist Monk-Poet Hanshan,Unidentified Artist,mid-17th century,2011.157,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

",China (for Japanese market),https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14608-010.jpg
Textile for a handscroll,Unidentified Artist,"dated October 9, 1862",1993.51.2,Ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1993_51_2_sec01.jpg
Sutra Cover,Unidentified Artist,Unknown Date,56.220.4,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/162261.jpg
Woman&#39;s Rank Badge with Egret,Unidentified Artist,late 18th–early 19th century,30.75.1029,Silk on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79850.jpg
Cup (from a set of eight),Unidentified Artist,Unknown Date,79.2.924,"Porcelain with iron-red glaze, painted in overglaze polychrome enamels",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_924_O1_sf.jpg
Wine Pot,Unidentified Artist,Unknown Date,24.80.248,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-24_80_248_001.jpg
Bowl (one of a pair),Unidentified Artist,1916,69.250.2,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/192228.jpg
Dish with chrysanthemum-petal rim,Unidentified Artist,11th–13th century,2015.500.1.19,Black lacquer with traces of gold decoration,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP155769.jpg
Dish with scene of a woman and children,Unidentified Artist,mid-18th century,79.2.582,Porcelain painted with overglaze polychrome enamels and gold (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15944-011.jpg
Cicada,Wu Xizai,dated 1852,1986.267.21,Folding fan mounted as an album leaf; ink and color on alum paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP161400.jpg
Bead,Unidentified Artist,Unknown Date,11.190.171,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_171_11810.jpg
Vase,Unidentified Artist,ca. 1500,17.30.3,Porcelain painted in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/17_30_3_O1.jpg
Cangzhen Tie and Lugong Tie,Unidentified Artist,20th century,1977.375.33,Ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-1977_375_33_at-001.jpg
Pendant,Unidentified Artist,20th century,65.86.194,"Jadeite, seed pearls",China,https://images.metmuseum.org/CRDImages/as/mobile-large/184077.jpg
Standing Guanyin,Unidentified Artist,Unknown Date,28.141,Wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28_141_TQ.JPG
Five-Clawed Dragon Robe,Unidentified Artist,Unknown Date,1973.95,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/200194.jpg
Jar (Guan),Unidentified Artist,ca. 2300–2000 BCE,1992.165.12,Earthenware with painted decoration,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP223430.jpg
Jar,Unidentified Artist,11th–12th century,"50.145.314a, b","Stoneware with splashed glaze (Jun ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14609-160.jpg
Sutra Cover,Unidentified Artist,17th century,46.186.75,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/176076.jpg
Attendant Bodhisattva,Unidentified Artist,Unknown Date,31.100.2,"Mud, gilded and polychromed",China,https://images.metmuseum.org/CRDImages/as/mobile-large/31_100_2_F.JPG
Kneeling Lady Attendant,Unidentified Artist,Unknown Date,2000.662.9,Earthenware with pigments,China,https://images.metmuseum.org/CRDImages/as/mobile-large/2000_662_9_L35948.JPG
Water Buffalo,Unidentified artist,Unknown Date,13.220.99h,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154414.jpg
Seated Buddha,Unidentified Artist,Unknown Date,12.134.27,Gilt bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/12_134_27_F.JPG
"The Wrathful Bon Deity Walse Ngampa, One of the Five Fortress Meditational Deities",Unidentified Artist,early 15th century,1994.527,"Ink, gold and opaque watercolor on cloth",Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/DP146431.jpg
Piece,Unidentified Artist,18th century,20.148.1018,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14872.jpg
Tripod bowl with Eight Trigrams (Bagua),Unidentified Artist,19th century,91.1.280,Stoneware with flambé glaze (Shiwan ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-91_1_280_whs-003.jpg
Figure of God of Longevity (Shoulao) and two dogs,Unidentified Artist,18th century,43.163.6,"Porcelain painted in overglaze polychrome enamels (Jingdezhen ware), European gilt bronze mount",China,https://images.metmuseum.org/CRDImages/as/mobile-large/43_163_6_O1_sf.jpg
"Samyutagama Sutra, chapter 25, from the Jinsushan Tripitaka",Unidentified artist,datable to 1060s–1080s,1989.363.2,Handscroll; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1989_363_2_sec01_CRD.jpg
Rank badge with peacock,Unidentified Artist,18th century,46.133.50,Silk and metallic thread embroidery on silk satin,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14150-014.jpg
Ring,Unidentified Artist,Unknown Date,13.40.53,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15315.jpg
Piece,Unidentified Artist,19th century,20.148.684,Silk / Compound weave,China or Japan,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15213.jpg
Initiation Card (Tsakalis): Vajrapani,Unidentified Artist,early 15th century,2000.282.9,Opaque watercolor on paper,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/DP339932.jpg
Vase from a Set Five-Piece Altar Set (Wugong),Unidentified Artist,Unknown Date,21.175.18,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/49219.jpg
Saucer,Unidentified Artist,10th–11th century,18.56.41,Stoneware with incised decoration under a celadon glaze (Longquan ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_56_41_O1_sf.jpg
Bowl with dragons,Unidentified Artist,first half of the 20th century,50.145.323,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/50_145_323_O2_sf.jpg
Tile,Unidentified Artist,Unknown Date,10.202.14,Earthenware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/10_202_14_9624.jpg
