Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Amitābha Triad,Unknown,possibly 1400s,1961.135,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1961.135/1961.135_web.jpg
White-Robed Guanyin,"Zhang Yuehu (Chinese, active 1200s)",late 1200s,1972.160,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1972.160/1972.160_web.jpg
Buddha Amitābha with Two Attending Bodhisattvas,Unknown,1200s,1974.35,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1974.35/1974.35_web.jpg
Peonies,Unknown,late 1200s,1976.90,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1976.90/1976.90_web.jpg
Sericulture (The Process of Making Silk),"Liang Kai (Chinese, mid-1100s-early 1200s)",early 1200s,1977.5,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1977.5/1977.5_web.jpg
Plum Blossoms,"Wang Shishen (Chinese, 1686–1759)",probably 1739,1985.366,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.366/1985.366_web.jpg
Animal-and-Grape Mirror,Unknown,mid 600s,1995.356,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.356/1995.356_web.jpg
The Immortal Li Tieguai,Su Wennan (Chinese),1500s,1973.158,Sculpture,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1973.158/1973.158_web.jpg
Su Dongpo,"Min Zhen (Chinese, 1730-after 1788)",1788,1985.71.6,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.71.6/1985.71.6_web.jpg
Frieze Fragment with Chariot Procession,Unknown,AD 100s,1985.73,Sculpture,"China, style of Wu Family Shrines, Jiaxiang district, Shandong, Eastern Han dynasty (AD 25–220)",https://openaccess-cdn.clevelandart.org/1985.73/1985.73_web.jpg
Vase with Peony Decoration,Unknown,1000s-1100s,1948.119,Ceramic,"China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1948.119/1948.119_web.jpg
Dragon; Tiger,"Fachang Muqi (Chinese, 1220–1280)",c. 1250–1279,1958.427,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1958.427/1958.427_web.jpg
Tiger,"Fachang Muqi (Chinese, 1220–1280)",c. 1250–1279,1958.427.2,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1958.427.2/1958.427.2_web.jpg
"Bamboo, Rock, and Tall Tree","Ni Zan (Chinese, 1301–1374)",c. 1300s,1978.65,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1978.65/1978.65_web.jpg
In the Palace,"Zhou Wenju (Chinese, active 942–961)",before 1140,1976.1,Painting,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1976.1/1976.1_web.jpg
Seal with Reclining Qilin,Unknown,1736–95,1952.494,Stone,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1952.494/1952.494_web.jpg
Wine Cup,Unknown,960–1279,1957.71,Ceramic,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1957.71/1957.71_web.jpg
Seated Buddha,Unknown,600s,1961.18,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1961.18/1961.18_web.jpg
Jar with Dragon and Phoenix Design,Unknown,1522–66,1972.14,Lacquer,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Jiajing mark and reign (1522-66)",https://openaccess-cdn.clevelandart.org/1972.14/1972.14_web.jpg
"Album of Miscellaneous Subjects, Colophon","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.11,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.11/1975.22.11_web.jpg
Shakyamuni Triad:  Buddha Attended by Manjushri and Samantabhadra,Unknown,c. 900,1975.92,Painting,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1975.92/1975.92_web.jpg
Textile Ornaments(?): Pair of Phoenixes,Unknown,c. 700s,1942.1083,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1942.1083/1942.1083_web.jpg
Mirror with a Square Band and Four Nipples,Unknown,late 200s-early 100s BC,1995.275,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.275/1995.275_web.jpg
Mirror with Concentric Circles and Linked Arcs,Unknown,late 200s-9 BC,1995.290,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.290/1995.290_web.jpg
Mirror with Concentric Circles and Linked Arcs,Unknown,1st century BC,1995.306,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.306/1995.306_web.jpg
Mirror with Four Pixie,Unknown,early 400s-late 500s,1995.327,Metalwork,"China, Southern and Northern Dynasties period (386-589)",https://openaccess-cdn.clevelandart.org/1995.327/1995.327_web.jpg
Mirror with Four Nipples and Eight Animals,Unknown,AD 300,1995.334,Metalwork,"China, Western Jin dynasty (265-316)",https://openaccess-cdn.clevelandart.org/1995.334/1995.334_web.jpg
Eighteen Views of Huzhou,"Song Xu (Chinese, 1525-c. 1606)",c. 1588,1998.78,Painting,"China, Jiaxing, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1998.78/1998.78_web.jpg
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.7,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.7/1962.157.7_web.jpg
